chapterNo,postNo,text,amount
702,21,"Spesielle driftsutgifter, kan overføres, kan nyttes under post 70",36402000
703,21,"Spesielle driftsutgifter, kan overføres",56783000
710,21,"Spesielle driftsutgifter, kan overføres",618893000
711,21,"Spesielle driftsutgifter, kan overføres, kan nyttes under post 70",36488000
715,21,"Spesielle driftsutgifter ",35332000
718,21,"Spesielle driftsutgifter ",86875000
719,21,"Spesielle driftsutgifter, kan overføres, kan nyttes under post 79",84391000
720,21,"Spesielle driftsutgifter ",20402000
732,21,"Spesielle driftsutgifter, kan overføres",9202000
733,21,"Spesielle driftsutgifter, kan nyttes under post 79",13252000
734,21,"Spesielle driftsutgifter ",14916000
751,21,"Spesielle driftsutgifter, kan overføres",12251000
761,21,"Spesielle driftsutgifter, kan nyttes under post 79",212192000
762,21,"Spesielle driftsutgifter, kan nyttes under post 70",30196000
763,21,"Spesielle driftsutgifter, kan nyttes under post 71",50706000
764,21,"Spesielle driftsutgifter, kan overføres",75802000
769,21,"Spesielle driftsutgifter, kan nyttes under post 70",32870000
770,21,"Spesielle driftsutgifter, kan nyttes under post 70",24363000
781,21,"Spesielle driftsutgifter, kan nyttes under post 79",71062000
782,21,"Spesielle driftsutgifter ",17125000
783,21,"Spesielle driftsutgifter, kan nyttes under post 79",29467000
800,21,"Spesielle driftsutgifter ",12599000
821,21,"Spesielle driftsutgifter, kunnskapsutvikling, kan overføres",38483000
822,21,"Spesielle driftsutgifter, opplæring i norsk og samfunnskunnskap, kan overføres",29075000
840,21,"Spesielle driftsutgifter ",3527000
841,21,"Spesielle driftsutgifter, meklingsgodtgjørelse, overslagsbevilgning",12764000
842,21,"Spesielle driftsutgifter ",22727000
846,21,"Spesielle driftsutgifter, kan nyttes under post 50",22159000
847,21,"Spesielle driftsutgifter, kan nyttes under post 71",16058000
854,21,"Spesielle driftsutgifter, kan nyttes under post 71",84083000
855,21,"Spesielle driftsutgifter ",22452000
857,21,"Spesielle driftsutgifter, kan nyttes under post 71",4356000
858,21,"Spesielle driftsutgifter ",12505000
865,21,"Spesielle driftsutgifter, kan overføres",7822000
900,21,"Spesielle driftsutgifter, kan overføres",53100000
902,21,"Spesielle driftsutgifter ",2400000
905,21,"Spesielle driftsutgifter ",74000000
934,21,"Spesielle driftsutgifter, kan overføres",13000000
950,21,"Spesielle driftsutgifter ",25700000
1000,21,"Spesielle driftsutgifter, kan overføres",16740000
1020,21,"Spesielle driftsutgifter, kan overføres",297470000
1021,21,"Spesielle driftsutgifter, kan overføres",76750000
1022,21,"Spesielle driftsutgifter, kan overføres",86650000
1023,21,"Spesielle driftsutgifter, kan overføres",151000000
1030,21,"Spesielle driftsutgifter ",7780000
1062,21,"Spesielle driftsutgifter, kan overføres",62930000
1100,21,"Spesielle driftsutgifter, kan overføres",1069000
1301,21,"Utredninger vedrørende miljø, trafikksikkerhet mv. ",15700000
1354,21,"Spesielle driftsutgifter - tilsyn med tau- og kabelbaner og tivoli og fornøyelsesparker ",19200000
1400,21,"Spesielle driftsutgifter ",130875000
1406,21,"Spesielle driftsutgifter ",4132000
1407,21,"Spesielle driftsutgifter ",10000000
1410,21,"Miljøovervåking og miljødata ",182171000
1420,21,"Spesielle driftsutgifter ",163224000
1425,21,"Spesielle driftsutgifter ",30600000
1429,21,"Spesielle driftsutgifter ",41735000
1465,21,"Spesielle driftsutgifter, kan overføres",487334000
1471,21,"Spesielle driftsutgifter, kan overføres",69542000
1500,21,"Spesielle driftsutgifter, kan overføres",43951000
1510,21,"Spesielle driftsutgifter, kan overføres",175926000
1535,21,"Spesielle driftsutgifter, kan overføres",1800000
1536,21,"Spesielle driftsutgifter, kan overføres",1900000
1560,21,"Spesielle driftsutgifter, kan overføres",53605000
1582,21,"Spesielle driftsutgifter, kan overføres",300000
1590,21,"Spesielle driftsutgifter ",37069000
1600,21,"Spesielle driftsutgifter, kan overføres",58600000
1605,21,"Spesielle driftsutgifter, kan overføres",8400000
1608,21,"Spesielle driftsutgifter, kan overføres",17000000
1618,21,"Spesielle driftsutgifter ",167200000
1620,21,"Spesielle driftsutgifter, kan overføres",208300000
1638,21,"Kvotekjøp, generell ordning, kan overføres",520000000
1725,21,"Spesielle driftsutgifter, kan overføres",135875000
1735,21,"Spesielle driftsutgifter ",1145733000
1800,21,"Spesielle driftsutgifter, kan overføres, kan nyttes under postene 70 og 72",30845000
1810,21,"Spesielle driftsutgifter, kan overføres",205100000
1820,21,"Spesielle driftsutgifter, kan overføres",79000000
1840,21,"Spesielle driftsutgifter, kan overføres",15000000
2412,21,"Spesielle driftsutgifter ",13100000
2442,21,"Spesielle driftsutgifter, kan overføres",2000000
440,22,"Søk etter omkomne på havet, i innsjøer og vassdrag, kan overføres",7861000
490,22,"Spesielle driftsutgifter, tolk og oversettelse ",59546000
587,22,"Kunnskapsutvikling og informasjonsformidling ",52600000
822,22,"Prøver i norsk og samfunnskunnskap for voksne innvandrere ",11588000
841,22,"Opplæring, forskning, utvikling mv. ",7031000
854,22,"Barnesakkyndig kommisjon ",6475000
855,22,"Kjøp av private barnevernstjenester, kan nyttes under post 1",1724359000
858,22,"Reguleringspremie til KLP og fylkeskommunale pensjonskasser ",33181000
904,22,"Forvaltning av Altinn-løsningen, kan overføres",230200000
1115,22,"Reguleringspremie til kommunale og fylkeskommunale pensjonskasser ",12600000
1420,22,"Statlige vannmiljøtiltak ",174700000
1500,22,"Forskning, kan overføres",21792000
1520,22,"Fellesutgifter for departementene og Statsministerens kontor ",129962000
1560,22,"Betaling av elektronisk ID og digital post til private leverandører ",5560000
1561,22,"Samordning av IKT-politikken, kan overføres",11972000
1618,22,"Større IT-prosjekter, kan overføres",298800000
1638,22,"Kvotekjøp, statsansattes flyreiser, kan overføres",1500000
1820,22,"Flom- og skredforebygging, kan overføres, kan nyttes under postene 60 og 72",196300000
1830,22,"Forvaltningsrettet forskning og utvikling, kan overføres, kan nyttes under post 71",24000000
400,23,"Spesielle driftsutgifter, forskning og kunnskapsutvikling, kan overføres",23185000
440,23,"Sideutgifter i forbindelse med sivile gjøremål ",77142000
490,23,"Spesielle driftsutgifter, kunnskapsutvikling, kan overføres",7471000
841,23,"Refusjon av utgifter til DNA-analyser, overslagsbevilgning",7096000
1320,23,"Drift og vedlikehold av riksveger, trafikant- og kjøretøytilsyn m.m., kan overføres, kan nyttes under post 29, post 30, post 31 og post 72",9347000000
1350,23,"Drift og vedlikehold, kan overføres, kan nyttes under post 30",5556900000
1550,23,"Klagenemnda for offentlige anskaffelser ",10310000
1560,23,"Elektronisk ID og digital post, kan overføres",116263000
2445,24,"Driftsresultat: ",0
2460,24,"Driftsresultat: ",0
2465,24,"Driftsresultat: ",0
2470,24,"Driftsresultat: ",0
2490,24,"Driftsresultat: ",0
1350,25,"Drift og vedlikehold av Gardermobanen, kan overføres",112400000
1420,25,"Statlig ordning for frivillig kjøp av klimakvoter ",430000
1320,26,"Vegtilsyn ",16000000
1320,29,"Vederlag til OPS-prosjekter, kan overføres, kan nyttes under post 23 og post 30",433000000
900,30,"Miljøtiltak Søve, kan overføres",20500000
906,30,"Sikrings- og miljøtiltak, kan overføres",11000000
1062,30,"Nyanlegg og større vedlikehold, kan overføres",525860000
1320,30,"Riksveginvesteringer, kan overføres, kan nyttes under post 23, post 29, post 31 og post 72",9764200000
1350,30,"Investeringer i linjen, kan overføres, kan nyttes under post 23",8559500000
1420,30,"Statlige erverv, båndlegging av friluftsom-råder, kan overføres",44080000
1465,30,"Geodesiobservatoriet i Ny-Ålesund, kan over-føres",65000000
1580,30,"Prosjektering av bygg, kan overføres",47000000
1581,30,"Større rehabiliteringsprosjekter, kan overføres",12000000
1582,30,"Investeringer, Fornebu, kan overføres",6800000
2440,30,"Investeringer ",30000000000
2445,30,"Prosjektering av bygg, kan overføres",192000000
906,31,"Miljøtiltak Løkken, kan overføres",35000000
1320,31,"Skredsikring riksveger, kan overføres, kan nyttes under post 30",1150000000
1350,31,"Nytt dobbeltspor Oslo-Ski, kan overføres",1349000000
1420,31,"Tiltak i verneområder, kan overføres",60693000
1580,31,"Igangsetting av byggeprosjekter, kan overføres",80000000
2445,31,"Igangsetting av ordinære byggeprosjekter, kan overføres",111500000
2445,32,"Prosjektering og igangsetting av kurantprosjekter, kan overføres",166000000
1580,33,"Videreføring av byggeprosjekter, kan overføres",744400000
2445,33,"Videreføring av ordinære byggeprosjekter, kan overføres",856100000
1420,34,"Statlige erverv, nasjonalparker, kan overføres",164528000
2445,34,"Videreføring av kurantprosjekter, kan overføres",593790000
1320,35,"Vegutbygging i Bjørvika, kan overføres",18000000
1420,35,"Statlige erverv, nytt skogvern, kan overføres",331091000
1320,36,"E16 over Filefjell, kan overføres",377000000
1580,36,"Kunstnerisk utsmykking, kan overføres",13840000
1320,37,"E6 vest for Alta, kan overføres",380000000
1420,39,"Oppryddingstiltak, kan overføres, kan nyttes under postene 69 og 79",19558000
1719,43,"Til disposisjon for Forsvarsdepartementet, kan overføres",6330000
1760,44,"Fellesfinansierte investeringer, nasjonalfinansiert andel, kan overføres",38302000
41,45,"Større utstyrsanskaffelser og vedlikehold, kan overføres",180900000
100,45,"Større utstyrsanskaffelser og vedlikehold, kan overføres",16987000
140,45,"Større utstyrsanskaffelser og vedlikehold, kan overføres",23200000
165,45,"Større utstyrsanskaffelser og vedlikehold, kan overføres",190000000
200,45,"Større utstyrsanskaffelser og vedlikehold, kan overføres",2687000
222,45,"Større utstyrsanskaffelser og vedlikehold, kan overføres",1411000
229,45,"Større utstyrsanskaffelser og vedlikehold, kan overføres",1096000
230,45,"Større utstyrsanskaffelser og vedlikehold, kan overføres",8400000
281,45,"Større utstyrsanskaffelser og vedlikehold, kan overføres",11523000
326,45,"Større utstyrsanskaffelser og vedlikehold, kan overføres",25303000
329,45,"Større utstyrsanskaffelser og vedlikehold, kan overføres",10344000
430,45,"Større utstyrsanskaffelser og vedlikehold, kan overføres",31608000
454,45,"Større utstyrsanskaffelser og vedlikehold, kan overføres",453720000
455,45,"Større utstyrsanskaffelser og vedlikehold, kan overføres",10982000
456,45,"Større utstyrsanskaffelser og vedlikehold, kan overføres",1248632000
604,45,"Større utstyrsanskaffelser og vedlikehold, kan overføres, kan nyttes under post 21",701440000
605,45,"Større utstyrsanskaffelser og vedlikehold, kan overføres",247220000
640,45,"Større utstyrsanskaffelser og vedlikehold, kan overføres",4500000
642,45,"Større utstyrsanskaffelser og vedlikehold, kan overføres",1800000
710,45,"Større utstyrsanskaffelser og vedlikehold, kan overføres",18859000
821,45,"Større utstyrsanskaffelser og vedlikehold, kan overføres",41252000
853,45,"Større utstyrsanskaffelser og vedlikehold, kan overføres",19052000
1021,45,"Større utstyrsanskaffelser og vedlikehold, kan overføres",300000000
1030,45,"Større utstyrsanskaffelser og vedlikehold, kan overføres",1740000
1062,45,"Større utstyrsanskaffelser og vedlikehold, kan overføres, kan nyttes under post 1",191120000
1100,45,"Større utstyrsanskaffelser og vedlikehold - ordinære forvaltningsorganer, kan overføres, kan nyttes under post 50",2926000
1147,45,"Større utstyrsanskaffelser og vedlikehold, kan overføres",7289000
1380,45,"Større utstyrsanskaffelser og vedlikehold, kan overføres",12300000
1520,45,"Større utstyrsanskaffelser og vedlikehold, kan overføres",39600000
1580,45,"Større utstyrsanskaffelser og vedlikehold, kan overføres",6000000
1581,45,"Større utstyrsanskaffelser og vedlikehold, kan overføres",11070000
1584,45,"Større utstyrsanskaffelser og vedlikehold, kan overføres",24500000
1585,45,"Større utstyrsanskaffelser og vedlikehold, kan overføres",215000000
1602,45,"Større utstyrsanskaffelser og vedlikehold, kan overføres",12300000
1605,45,"Større utstyrsanskaffelser og vedlikehold, kan overføres",19900000
1610,45,"Større utstyrsanskaffelser og vedlikehold, kan overføres",64900000
1618,45,"Større utstyrsanskaffelser og vedlikehold, kan overføres",104400000
1620,45,"Større utstyrsanskaffelser og vedlikehold, kan overføres",10200000
1634,45,"Større utstyrsanskaffelser og vedlikehold, kan overføres",16500000
1760,45,"Større utstyrsanskaffelser og vedlikehold, kan overføres, kan nyttes under kap.1761, post 45",7908100000
1761,45,"Større utstyrsanskaffelser og vedlikehold, kan overføres",966182000
1810,45,"Større utstyrsanskaffelser og vedlikehold, kan overføres",4000000
1820,45,"Større utstyrsanskaffelser og vedlikehold, kan overføres",6000000
2410,45,"Større utstyrsanskaffelser og vedlikehold, kan overføres",85220000
2412,45,"Større utstyrsanskaffelser og vedlikehold, kan overføres",17100000
2445,45,"Større utstyrsanskaffelser og vedlikehold, kan overføres",70000000
2465,45,"Større utstyrsanskaffelser og vedlikehold, kan overføres",15288000
2470,45,"Større utstyrsanskaffelser og vedlikehold, kan overføres",30476000
2490,45,"Større utstyrsanskaffelser og vedlikehold, kan overføres",5000000
1710,46,"Ekstraordinært vedlikehold og komponentutskifting, kan overføres",164366000
1710,47,"Nybygg og nyanlegg, kan overføres",1588411000
1761,47,"Nybygg og nyanlegg, kan overføres",152902000
1760,48,"Fellesfinansierte investeringer, fellesfinansiert andel, kan overføres",26500000
2445,49,"Kjøp av eiendommer, kan overføres",70000000
1,50,"Det kongelige hoff ",164157000
2,50,"H.K.H. Kronprinsen og H.K.H. Kronprinsessens stab mv. ",17823000
223,50,"Tilskudd til Sametinget ",39043000
226,50,"Nasjonale sentre i grunnopplæringen ",84559000
231,50,"Tilskudd til samiske barnehagetilbud ",15160000
260,50,"Statlige universiteter og høyskoler ",27921127000
280,50,"Senter for internasjonalisering av utdanning ",67016000
281,50,"Tilskudd til Norges forskningsråd ",94032000
283,50,"Meteorologisk institutt ",290629000
322,50,"Kunst i offentlige rom ",27223000
334,50,"Filmfondet, kan nyttes under post 71",441501000
400,50,"Norges forskningsråd ",22070000
480,50,"Tilskudd ",323245000
500,50,"Forskningsprogrammer under Norges forskningsråd ",15750000
601,50,"Norges forskningsråd ",134120000
643,50,"Statstilskudd ",111600000
762,50,"Samisk helse ",5247000
780,50,"Norges forskningsråd mv. ",323306000
821,50,"Norges Forskningsråd ",6614000
846,50,"Forskning, kan nyttes under post 21",3025000
849,50,"Basisbevilgning ",54035000
854,50,"Forskning og utvikling ",27459000
860,50,"Basisbevilgning ",107351000
866,50,"Basisbevilgning ",29307000
920,50,"Tilskudd ",1452000000
922,50,"Norsk Romsenter ",58300000
1023,50,"Tilskudd Norges forskningsråd",240450000
1100,50,"Større utstyrsanskaffelser og vedlikehold - forvaltningsorganer med særskilte fullmakter ",272000
1112,50,"Kunnskapsutvikling, kunnskapsformidling og beredskap, Veterinærinstituttet ",87998000
1137,50,"Forskningsaktivitet, Norges forskningsråd ",255951000
1141,50,"Næringsøkonomisk dokumentasjon og analyse ",24743000
1150,50,"Fondsavsetninger ",1190653000
1301,50,"Samferdselsforskning, kan overføres",126300000
1410,50,"Basisbevilgninger til miljøforskningsinstituttene ",169738000
1429,50,"Tilskudd til samisk kulturminnearbeid ",3307000
1432,50,"Til disposisjon for kulturminnetiltak ",63590000
1471,50,"Stipend ",498000
1472,50,"Overføringer til Svalbard miljøvernfond ",12320000
1474,50,"Tilskudd til statlige mottakere, kan overføres, kan nyttes under postene 01 og 70",20000000
1533,50,"Sametinget ",265540000
1534,50,"Samisk høgskole ",6403000
1825,50,"Overføring til Energifondet ",1216000000
1830,50,"Overføring til Norges forskningsråd ",647600000
1840,50,"CLIMIT ",200000000
2410,50,"Avsetning til utdanningsstipend, overslagsbevilgning",5366145000
2421,50,"Innovasjon - prosjekter, fond ",235200000
231,51,"Forskning, kan nyttes under post 21",8286000
280,51,"Drift av nasjonale fellesoppgaver ",144996000
320,51,"Fond for lyd og bilde ",32641000
334,51,"Audiovisuelle produksjoner ",10509000
860,51,"Markedsportaler ",15673000
1023,51,"Tilskudd Veterinærinstituttet ",47130000
1112,51,"Kunnskapsutvikling, kunnskapsformidling og beredskap, Bioforsk ",62823000
1137,51,"Basisbevilgninger m.m., Norges forskningsråd ",187774000
1149,51,"Tilskudd til Utviklingsfondet for skogbruket ",3497000
1151,51,"Tilskudd til Utviklings- og investeringsfondet ",33100000
1410,51,"Forskningsprogrammer m.m. ",214718000
1534,51,"Divvun ",5609000
1716,51,"Tilskudd til Forsvarets forskningsinstitutt ",180600000
285,52,"Forskningsformål ",1394725000
320,52,"Norges forskningsråd ",5250000
1023,52,"Basisbevilgning forskningsinstitutter ",126890000
1112,52,"Støtte til fagsentrene, Bioforsk ",17873000
1141,52,"Kunnskapsutvikling og kunnskapsformidling om arealressurser, skog og landskap ",101888000
285,53,"Overordnede forskningspolitiske prioriteringer ",978605000
287,53,"NUPI ",4494000
320,53,"Sametinget ",77202000
